Estimated Visits,Domain,Traffic share,Change,Global Rank,Avg. Visit Duration,Pages / Visit,Bounce Rate,AdSense
229368,photoserge.com,0.000798217%,27.24%,"140,905",00:02:37,2.77,48.26%,
302962,5156share.com,0.000797356%,12.02%,"85,406",00:04:47,3.40,50.42%,
112634,manymanga.com,0.000796548%,8.29%,"139,922",00:03:38,14.98,30.68%,
1380979,peliculasid.net,0.000795693%,-19.69%,"24,591",00:04:43,4.41,34.51%,
90005,aesham.com,0.000795575%,-16.53%,"194,037",00:02:50,4.32,46.28%,
187817,hidefninja.com,0.000793943%,31.33%,"133,422",00:03:50,6.99,41.02%,Yes
97070,hdmixtapes.com,0.000793904%,-11.49%,"155,069",00:04:57,5.67,28.75%,
533899,disney.com.au,0.000793799%,-13.41%,"41,855",00:05:59,4.24,41.41%,Yes
95476,artistsnetwork.tv,0.000793560%,31.54%,"237,769",00:04:45,4.19,41.42%,
89051,disneybound.tumblr.com,0.000792640%,,"293,010",00:04:52,5.62,44.78%,
101400,kissfaq.com,0.000791152%,38.76%,"208,661",00:10:31,7.24,14.61%,Yes
302782,photoxpress.com,0.000786648%,-14.31%,"78,727",00:03:33,9.38,36.81%,
112241,bleeblu.com,0.000781977%,,"1,018,801",00:02:39,8.54,12.27%,
142172,youarenotaphotographer.com,0.000781363%,,"239,231",00:03:52,5.01,36.47%,Yes
76214,careers.seaworldparks.com,0.000781153%,-2.51%,"217,031",00:05:46,7.09,23.57%,
121966,albumfiend.com,0.000778693%,-23.86%,"142,223",00:05:34,7.59,41.52%,
174674,mp3crank.com,0.000778003%,-50.22%,"75,174",00:02:31,2.59,36.88%,
259982,dancehallworld.net,0.000775749%,4.86%,"81,492",00:04:45,5.77,20.80%,Yes
Estimated Visits,wpfilm.com,0.000775439%,-38.11%,94,586,00:02:23,2.02,67.13%,
380872,movie.to,0.000774433%,,"137,352",00:02:44,3.81,39.10%,
94736,fotofuze.com,0.000771900%,9.16%,"144,275",00:44:40,113.20,21.22%,
94549,fdportfoliomanager.com,0.000769057%,11.42%,"154,498",00:11:52,16.66,14.93%,
336225,fiddle.se,0.000768586%,,"141,089",00:02:47,3.50,48.63%,
72879,castingabout.com,0.000768019%,-13.41%,"257,885",00:03:39,2.62,17.78%,
142742,meelec.com,0.000767878%,5.07%,"169,827",00:03:38,4.36,49.03%,
142175,animetv.org,0.000765888%,11.40%,"151,638",00:09:53,3.76,37.73%,
72054,wurstfest.com,0.000761631%,,"521,562",00:02:31,4.24,49.01%,
85566,da-lite.com,0.000755016%,,"273,500",00:03:50,4.72,29.56%,
86527,izola.com,0.000754157%,,"330,777",00:03:51,3.99,26.21%,
169119,tvforumonline.com,0.000754053%,-3.71%,"97,623",00:22:59,11.47,6.53%,
71426,txtmovieclub.com,0.000753960%,-4.62%,"278,282",00:02:33,3.41,31.93%,Yes
78258,willowing.ning.com,0.000753467%,-17.95%,"233,276",00:08:40,4.02,17.71%,
250966,kpopexplorer.net,0.000752649%,15.50%,"108,546",00:03:42,4.41,43.79%,
195370,tuxpi.com,0.000752158%,2.33%,"131,827",00:03:39,7.51,31.53%,Yes
6996323,ipla.tv,0.000752100%,-7.73%,"3,750",00:04:42,5.25,30.09%,
115865,cmdistro.com,0.000750004%,,"367,371",00:04:36,7.54,26.72%,
246602,animeseed.com,0.000747359%,,"109,501",00:11:43,4.63,26.49%,
Estimated Visits,download.abmp3songs.com,0.000747275%,,35,929,00:02:38,2.58,67.07%,
568410,gettyimages.ca,0.000747084%,,"42,051",00:05:31,8.74,50.83%,
1146165,hahabar.com,0.000746302%,-69.18%,"11,189",00:08:56,3.28,37.26%,
73124,do317.com,0.000741406%,,"361,977",00:03:42,5.90,47.77%,
128083,lolsotrue.com,0.000735108%,,"173,205",00:04:42,9.99,30.18%,Yes
104636,bottleneckgallery.com,0.000733537%,-3.57%,"182,072",00:02:57,7.17,41.91%,
203188,ro.me,0.000730574%,,"184,163",00:02:31,3.47,31.78%,
1678594,animeindo.web.id,0.000728632%,,"21,313",00:08:37,3.15,35.63%,
188089,fabfilter.com,0.000726842%,-18.73%,"135,274",00:03:45,3.42,37.37%,
2037039,wardhanime.net,0.000726153%,-25.40%,"20,709",00:04:51,2.57,40.85%,
290264,crystalmathlabs.com,0.000726126%,,"171,357",00:03:52,6.47,15.85%,
3022419,cinemex.com,0.000718069%,-12.65%,"13,891",00:03:59,3.27,35.59%,
198563,watermark.ws,0.000717678%,1.33%,"91,375",00:06:49,8.69,32.38%,
2396258,mytatasky.com,0.000717411%,-11.89%,"8,014",00:06:51,12.22,17.15%,
193198,musipedia.org,0.000717199%,,"124,436",00:04:40,8.93,20.72%,Yes
166475,filminute.com,0.000716024%,,"647,367",00:03:37,3.84,38.25%,
77340,ums.org,0.000715799%,26.42%,"223,475",00:06:51,3.95,41.04%,
3201348,pocosmegashd.com,0.000715267%,19.62%,"15,609",00:04:42,2.83,40.33%,
77374,puddle.com,0.000713821%,19.22%,"278,373",00:04:57,5.40,25.58%,
1723894,beautifulnara.com,0.000708467%,-7.27%,"19,925",00:03:46,2.82,42.84%,Yes
3133707,koreus.com,0.000707738%,,"10,269",00:05:59,2.54,38.75%,Yes
1072266,superluchas.net,0.000707028%,-11.35%,"31,891",00:03:37,3.09,42.52%,Yes
Estimated Visits,fox.com.tr,0.000706976%,-55.70%,4,683,00:23:16,4.68,36.69%,
100463,jplegacy.org,0.000706712%,17.40%,"277,731",00:04:59,5.83,42.43%,
170567,soundike.com,0.000704941%,-14.33%,"114,142",00:04:35,5.96,40.46%,
262367,jyj3.net,0.000704835%,-4.04%,"103,232",00:08:35,3.75,36.53%,Yes
96013,photostockplus.com,0.000704176%,17.00%,"145,204",00:08:31,24.42,22.47%,
2427926,la7.it,0.000699920%,,"23,503",00:03:35,3.06,36.84%,
87149,slated.com,0.000699297%,-16.57%,"173,521",00:04:39,5.60,45.58%,
1808927,spicinemas.in,0.000694890%,,"26,299",00:07:53,7.01,18.00%,
209318,proaudiozone.info,0.000694424%,-54.05%,"69,833",00:05:36,3.91,27.12%,
93691,rockmyrun.com,0.000693739%,-3.66%,"210,600",00:03:53,4.78,43.70%,
164537,lbp.me,0.000692775%,-14.62%,"81,639",00:02:39,7.31,50.36%,
76448,twocansandstring.com,0.000691204%,,"296,531",00:16:40,26.78,37.08%,
1055181,phimnhanh.net,0.000690499%,-25.91%,"27,483",00:03:38,3.00,33.23%,
183896,spectrasonics.net,0.000686188%,-0.17%,"153,635",00:02:47,2.92,48.73%,
243681,goodtv.tv,0.000685573%,12.76%,"98,374",00:05:36,3.25,43.91%,
183809,bitwig.com,0.000685009%,,"207,311",00:03:43,3.26,30.71%,
193290,mondomedia.com,0.000684151%,,"160,715",00:03:51,3.52,47.49%,Yes
74896,lm.com,0.000684069%,-2.51%,"209,137",00:08:37,7.93,17.24%,
78249,txbands.com,0.000684060%,,"634,075",00:05:43,7.55,22.28%,
175527,imagefolks.com,0.000681302%,,"205,323",00:02:43,3.10,17.17%,
119352,blackrapid.com,0.000681079%,17.46%,"166,180",00:03:50,5.86,32.29%,
Estimated Visits,disneyinterns.com,0.000680702%,,492,528,00:02:16,1.68,50.78%,
98344,moviewavs.com,0.000680199%,16.51%,"182,014",00:03:49,8.92,42.12%,Yes
98356,onision.com,0.000677696%,,"307,594",00:03:58,3.51,50.47%,Yes
68088,wgi.org,0.000674439%,9.48%,"242,328",00:03:35,5.63,31.08%,
212908,ifate.com,0.000674436%,-1.10%,"91,652",00:10:50,14.23,18.49%,Yes
68641,southtree.com,0.000670913%,,"332,093",00:04:47,3.42,38.38%,
977305,mastertv.biz,0.000669073%,-35.52%,"35,957",00:02:54,5.08,42.82%,
1160939,flvpeliculas.org,0.000667906%,5.80%,"24,992",00:04:53,5.57,31.65%,
1699249,narutobleachlover.net,0.000660035%,,"24,070",00:05:45,3.01,38.80%,
507786,barevhayer.com,0.000659075%,-12.80%,"69,127",00:05:50,3.39,24.94%,
67903,clearplay.com,0.000655967%,-4.09%,"254,133",00:03:41,4.96,27.34%,
103449,acidplanet.com,0.000654684%,-35.36%,"158,903",00:03:36,3.89,35.27%,Yes
1011651,linecinema.org,0.000653332%,-31.15%,"32,609",00:03:45,2.89,36.60%,
349825,backprint.com,0.000648455%,3.06%,"84,716",00:02:44,8.39,39.92%,
212076,gardenberg.se,0.000647339%,,"183,983",00:02:34,2.53,27.46%,
865699,elle.com.tw,0.000646734%,-16.13%,"27,430",00:03:36,7.14,42.33%,Yes
138777,mygnrforum.com,0.000642473%,-29.48%,"119,706",00:10:52,12.98,37.75%,Yes
Estimated Visits,comicosity.com,0.000642443%,,359,952,00:00:53,1.01,80.55%,
693379,phim16.com,0.000641595%,2.98%,"29,757",00:11:40,5.26,15.12%,Yes
268181,lenstip.com,0.000641071%,10.29%,"128,937",00:02:58,3.52,43.90%,
1988937,starplus.in,0.000640031%,-26.64%,"15,729",00:02:38,3.20,48.55%,
111762,vgmusic.com,0.000640017%,,"225,506",00:04:34,4.71,39.19%,Yes
314262,desironak.com,0.000639707%,,"91,172",00:06:59,3.72,22.06%,Yes
190983,shadowville.com,0.000639373%,-15.65%,"104,432",00:07:59,5.01,37.83%,Yes
137201,mikeinelart.tumblr.com,0.000638552%,-16.42%,"181,361",00:02:34,3.57,46.35%,
150599,8dio.com,0.000637384%,9.17%,"186,975",00:03:56,3.47,50.07%,
95298,amiannoying.com,0.000633447%,3.25%,"239,813",00:05:43,8.97,45.98%,Yes
75657,tweaktv.com,0.000633322%,,"375,868",00:03:37,3.63,35.15%,Yes
91804,amplitude.com,0.000627909%,,"199,925",00:06:51,10.16,33.75%,
80643,musicdealers.com,0.000627575%,-4.97%,"192,294",00:05:54,6.76,37.59%,
184674,blu-torrents.net,0.000627091%,,"215,170",00:03:38,3.50,43.24%,Yes
136411,watchstation.com,0.000627017%,-7.07%,"143,365",00:02:53,5.58,44.96%,
2326207,dpstreaming.org,0.000626186%,,"19,809",00:06:55,3.71,30.13%,
83415,songfreedom.com,0.000624287%,,"307,293",00:05:32,2.89,42.44%,
58562,spbb.org,0.000623921%,,"1,854,112",00:06:42,3.40,23.71%,
62836,pnb.org,0.000623634%,,"339,247",00:03:32,4.41,34.02%,
72522,brandery.org,0.000622750%,,"436,577",00:03:42,4.15,50.00%,
65152,wolftrap.org,0.000622266%,-14.48%,"271,373",00:02:37,2.91,41.31%,
119971,adashboard.info,0.000620489%,,"319,964",00:04:53,2.95,33.77%,
Estimated Visits,cervantesmasterpiece.com,0.000620388%,,588,161,00:01:17,1.62,56.99%,
667065,canon.ca,0.000619334%,-2.84%,"36,059",00:02:40,3.61,42.58%,
66596,sillyfarm.com,0.000612385%,2.43%,"180,751",00:06:47,13.78,34.30%,
574709,720pmkv.com,0.000612300%,-12.32%,"59,384",00:03:48,12.75,43.06%,
228479,playlist.me,0.000611880%,-2.01%,"118,538",00:04:44,2.87,50.55%,Yes
98531,hhcolorlab.com,0.000609975%,-27.49%,"166,377",00:02:44,6.48,33.45%,
61379,oneononenyc.com,0.000609771%,,"300,980",00:03:41,6.29,34.38%,
356997,persianhub.tv,0.000608906%,-47.17%,"72,834",00:02:43,2.80,41.01%,Yes
67422,vevmo.com,0.000607986%,,"268,303",00:02:47,3.93,50.09%,
92248,moodlight.org,0.000607815%,,"268,836",00:03:36,3.55,22.25%,
825215,peliculasdk.com,0.000606683%,,"57,435",00:08:54,3.78,42.29%,
5002795,dagospia.com,0.000605091%,-25.46%,"4,687",00:03:43,4.75,44.50%,
153002,sampleswap.org,0.000604542%,5.86%,"109,643",00:03:32,10.13,46.66%,Yes
327974,tab4u.com,0.000602745%,,"66,910",00:06:36,7.00,10.38%,Yes
521330,rijksmuseum.nl,0.000602269%,-9.52%,"37,167",00:02:34,10.59,46.56%,
417754,allcdcovers.com,0.000601359%,-19.87%,"43,821",00:03:39,7.68,24.39%,Yes
2379351,trt.net.tr,0.000599865%,-40.48%,"17,665",00:04:58,5.41,50.45%,
235916,prepar3d.com,0.000598721%,,"145,930",00:04:47,3.79,31.97%,
63773,framedestination.com,0.000595783%,,"316,254",00:04:42,9.22,50.28%,
Estimated Visits,lolhehehe.com,0.000595753%,,22,832,00:01:12,1.38,81.51%,Yes
82357,thevoicerealm.com,0.000594629%,-19.90%,"231,763",00:04:48,5.50,35.91%,
138170,skinnygossip.com,0.000593541%,,"155,870",00:08:33,6.39,40.20%,
1775454,diziizle.net,0.000592823%,-28.46%,"17,613",00:14:49,6.27,29.37%,Yes
132889,magnatune.com,0.000591365%,,"139,674",00:06:52,7.11,48.44%,
58832,dumdumpops.com,0.000590115%,,"304,821",00:02:35,4.86,36.58%,
400812,underskog.no,0.000589577%,,"64,056",00:04:53,3.29,12.61%,
4749420,sbt.com.br,0.000588749%,,"8,452",00:05:44,2.83,31.09%,Yes
365309,hum.tv,0.000588272%,,"86,175",00:05:37,2.84,43.65%,Yes
70096,way.com,0.000587686%,,"266,039",00:03:52,5.65,42.61%,
395281,phim4v.com,0.000583565%,,"69,532",00:09:55,3.22,39.96%,
92114,tewi.us,0.000582612%,-3.74%,"157,079",00:09:42,13.39,21.66%,
62970,laopera.org,0.000582180%,-15.84%,"256,507",00:03:43,3.53,39.04%,
65683,juntoboxfilms.com,0.000577963%,-31.23%,"186,505",00:03:58,4.53,30.10%,
68776,restituda.blogspot.com,0.000577380%,-7.31%,"245,638",00:06:53,12.12,7.34%,Yes
54307,medfordmugshots.com,0.000576228%,,"275,544",00:02:46,8.65,41.99%,
408779,hhcomic.com,0.000576070%,-37.52%,"66,099",00:04:36,3.32,49.16%,
112886,insanee.com,0.000573114%,,"271,410",00:06:36,3.98,37.94%,Yes
Estimated Visits,whiteswirl.com,0.000573101%,,306,667,00:07:41,6.71,16.72%,
60745,sdsaram.com,0.000568713%,-23.61%,"250,000",00:04:31,4.78,39.39%,
1690726,mangacanblog.com,0.000568530%,,"16,281",00:05:59,3.66,46.98%,
